
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Grinding_Machine3.Utilization               .04081     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.NumberBusy                .08148     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.NumberScheduled           .33333     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine2.Utilization               .08148     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.NumberBusy                .10847     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.NumberScheduled           .33333     (Insuf)    .00000     1.0000     .00000    
Grinding_Machine1.Utilization               .10847     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.NumberBusy               .10177     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector3.Utilization              .10177     (Insuf)    .00000     1.0000     .00000    
Process_Inspector2.NumberBusy               .13790     (Insuf)    .00000     1.0000     .00000    
Process_Inspector2.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector2.Utilization              .13790     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.NumberBusy               .15159     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.Utilization              .15159     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.NumberBusy            .21825     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.Utilization           .21825     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.NumberBusy            .19345     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.Utilization           .19345     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.NumberBusy            .23810     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.Utilization           .23810     (Insuf)    .00000     1.0000     .00000    
Worker_Assemble.NumberBusy                  2.3779     (Corr)     .00000     8.0000     .00000    
Worker_Assemble.NumberScheduled             8.0000     (Insuf)    8.0000     8.0000     8.0000    
Worker_Assemble.Utilization                 .29725     (Corr)     .00000     1.0000     .00000    
Worker_Process.NumberBusy                   1.6554     (Insuf)    .00000     6.0000     .00000    
Worker_Process.NumberScheduled              6.0000     (Insuf)    6.0000     6.0000     6.0000    
